iter	Logloss
0	0.6901547714
1	0.6878707549
2	0.6857240384
3	0.6834834111
4	0.681782691
5	0.6798065994
6	0.6778594783
7	0.6758350086
8	0.6734677367
9	0.6721294797
10	0.6705551238
11	0.6689698297
12	0.6676777062
13	0.664623477
14	0.663088557
15	0.6619462153
16	0.6603809327
17	0.6591216406
18	0.6580410368
19	0.6570282136
20	0.6562357227
21	0.6543372493
22	0.6521411807
23	0.6504409549
24	0.6495848279
25	0.6486419292
26	0.6479495493
27	0.647286053
28	0.6464393485
29	0.6455821339
30	0.6446945044
31	0.6440728985
32	0.642050494
33	0.6407934779
34	0.6402463996
35	0.6394774516
36	0.6389882992
37	0.638291269
38	0.6370786829
39	0.6354098845
40	0.6347569183
41	0.6342863631
42	0.6338824162
43	0.6336638274
44	0.6333380691
45	0.6315722306
46	0.6312400452
47	0.630646508
48	0.6302851211
49	0.6299526655
50	0.6297408844
51	0.6293705563
52	0.6291165502
53	0.6286671999
54	0.6282093045
55	0.6281162887
56	0.6267712891
57	0.6259617173
58	0.6255325665
59	0.6252388799
60	0.6249473089
61	0.6247407658
62	0.6245109844
63	0.6241774112
64	0.6239297237
65	0.6236998536
66	0.6234973834
67	0.6233020617
68	0.623116192
69	0.622030371
70	0.6209667696
71	0.6203084548
72	0.6202087877
73	0.6200241235
74	0.6194054314
75	0.6190800586
76	0.6189111861
77	0.6187698165
78	0.6187290845
79	0.6181053538
80	0.6179457429
81	0.6178776715
82	0.6176639718
83	0.6174665037
84	0.617244778
85	0.6170736415
86	0.6168526265
87	0.6167803723
88	0.6163158842
89	0.6161262017
90	0.6160321589
91	0.6159365652
92	0.6158232996
93	0.6153328914
94	0.6152869045
95	0.6151604493
96	0.6149757401
97	0.614743301
98	0.6146503133
99	0.6141585052
100	0.6140946805
101	0.6138327458
102	0.6136656263
103	0.6135480732
104	0.6134081109
105	0.6133083567
106	0.6125089817
107	0.6123268446
108	0.6121916119
109	0.612159882
110	0.6120398248
111	0.611885782
112	0.6113190209
113	0.6111731856
114	0.610679008
115	0.6105317444
116	0.6103564692
117	0.6102257636
118	0.6101479892
119	0.6100758769
120	0.6099228882
121	0.609595668
122	0.6095246078
123	0.6093372996
124	0.6085764869
125	0.6084052803
126	0.6082824489
127	0.6076217878
128	0.6075639207
129	0.6074611749
130	0.606779819
131	0.6067377287
132	0.6061386513
133	0.6060794313
134	0.6059940804
135	0.6059371597
136	0.6058674219
137	0.6056336086
138	0.6055818762
139	0.6054665233
140	0.6053734363
141	0.6052536138
142	0.605062793
143	0.6049301504
144	0.6048015822
145	0.6041479974
146	0.6041158885
147	0.6039874217
148	0.6038883028
149	0.6034971088
150	0.6034038252
151	0.6032640125
152	0.6032241966
153	0.6031706164
154	0.6030443592
155	0.602950756
156	0.602784714
157	0.6026943927
158	0.6026035231
159	0.6025184814
160	0.6024380388
161	0.6024247623
162	0.6022980837
163	0.6022453268
164	0.602120454
165	0.6020578911
166	0.6019846033
167	0.6018856546
168	0.6018411871
169	0.6014421349
170	0.6014001951
171	0.6013088363
172	0.6012590094
173	0.60110883
174	0.60105444
175	0.6009116853
176	0.6007520207
177	0.6007090762
178	0.6006975258
179	0.6003262908
180	0.6002524625
181	0.6001423157
182	0.6000651773
183	0.5998816578
184	0.5998573008
185	0.5995629681
186	0.5994003072
187	0.599207777
188	0.599106403
189	0.5990907595
190	0.5990201129
191	0.5989978586
192	0.5986201602
193	0.598532938
194	0.5985154334
195	0.5984167581
196	0.5983078115
197	0.5982350209
198	0.5981863262
199	0.5981164689
200	0.5980378942
201	0.597951294
202	0.5978018414
203	0.5975209577
204	0.5974412146
205	0.5972659043
206	0.5970307489
207	0.5968690119
208	0.5967557292
209	0.5967084422
210	0.5966062279
211	0.596589276
212	0.5965102313
213	0.5963601033
214	0.5958932168
215	0.5958255255
216	0.5957806223
217	0.5956296271
218	0.5956152611
219	0.5955867782
220	0.5954076881
221	0.5954076878
222	0.5953512246
223	0.5952826283
224	0.5952653292
225	0.5952200204
226	0.5950999378
227	0.5950024561
228	0.5949248482
229	0.5948944064
230	0.5948586321
231	0.594722598
232	0.5946266555
233	0.5945601194
234	0.5943992267
235	0.5940402689
236	0.5939581249
237	0.5939577624
238	0.5938453914
239	0.5937876243
240	0.5936070615
241	0.5935068104
242	0.5934499258
243	0.5933677419
244	0.5933109793
245	0.5929577195
246	0.5928194404
247	0.5927814607
248	0.592752565
249	0.5927073714
250	0.5927025467
251	0.5926147099
252	0.59252098
253	0.5924415695
254	0.5923579642
255	0.5923198705
256	0.5923176547
257	0.592238433
258	0.592091398
259	0.591971163
260	0.5918336672
261	0.5916576392
262	0.5916423631
263	0.5916021838
264	0.5915316646
265	0.5914674164
266	0.5909013706
267	0.5908787295
268	0.5907923299
269	0.5906266624
270	0.5904903379
271	0.5904633339
272	0.5903384799
273	0.5901727262
274	0.5900159742
275	0.5899140397
276	0.5898393185
277	0.5897322575
278	0.5896857321
279	0.5895716202
280	0.5894310095
281	0.589307111
282	0.5892562014
283	0.5891672038
284	0.5890918719
285	0.5890400715
286	0.588994137
287	0.5888485458
288	0.5887468454
289	0.5886430951
290	0.5885530778
291	0.5882774674
292	0.5882253938
293	0.5881417268
294	0.5880932339
295	0.5879750776
296	0.5878997084
297	0.5878833858
298	0.5878548285
299	0.5878211963
300	0.5877467534
301	0.5875274214
302	0.5874197357
303	0.5873224714
304	0.5872362842
305	0.5871893578
306	0.5871041
307	0.5870879935
308	0.5870236782
309	0.58696702
310	0.5868236381
311	0.5867663573
312	0.5867060977
313	0.5865431033
314	0.5865354325
315	0.5864515487
316	0.5864438787
317	0.5863580795
318	0.5862842797
319	0.586135625
320	0.586022074
321	0.5859273452
322	0.5857931851
323	0.5856864853
324	0.5855726634
325	0.5854983667
326	0.5854501757
327	0.5854271719
328	0.5853009789
329	0.5850460074
330	0.5849607417
331	0.58488702
332	0.5847031032
333	0.5845549974
334	0.5843811631
335	0.584253601
336	0.5842535947
337	0.5842535912
338	0.5841625793
339	0.5841060056
340	0.584086476
341	0.583945927
342	0.5838602905
343	0.5837610485
344	0.5836999531
345	0.583673772
346	0.5835489173
347	0.5833792161
348	0.5833431685
349	0.5830708324
350	0.5829755054
351	0.5828908291
352	0.5828638877
353	0.5827315955
354	0.5825672639
355	0.5825081297
356	0.5823448125
357	0.5821527604
358	0.5820914572
359	0.5819738843
360	0.5818589426
361	0.5814438207
362	0.5813884969
363	0.5812575378
364	0.5811875002
365	0.5808668396
366	0.5807897905
367	0.5806462276
368	0.5804775388
369	0.5804334673
370	0.5801903803
371	0.5800301595
372	0.5798599995
373	0.5797714537
374	0.5796968877
375	0.5795626124
376	0.5793821277
377	0.5791845665
378	0.5790513513
379	0.5789054928
380	0.578776493
381	0.5785247154
382	0.578367992
383	0.5782505701
384	0.5779680156
385	0.5777933094
386	0.5775969644
387	0.5775104191
388	0.5773762044
389	0.5773114021
390	0.5772100635
391	0.5769595195
392	0.5768163659
393	0.5764649171
394	0.5762091616
395	0.5761223298
396	0.5760315887
397	0.5758689105
398	0.5758259515
399	0.5756440255
400	0.5755076968
401	0.5753775072
402	0.5752465249
403	0.575079023
404	0.57490962
405	0.5747718447
406	0.5745462706
407	0.5744050825
408	0.5742613938
409	0.5740484089
410	0.5739296906
411	0.5737563978
412	0.5734749214
413	0.5733367176
414	0.5730952776
415	0.5730139937
416	0.5729196288
417	0.5726896445
418	0.5725036418
419	0.5722776247
420	0.5721799721
421	0.5720549491
422	0.571912677
423	0.5717228971
424	0.5715580967
425	0.5713109797
426	0.5710917133
427	0.5709302442
428	0.570741309
429	0.570523288
430	0.5703667356
431	0.5701552785
432	0.5698254203
433	0.5697297565
434	0.5695452088
435	0.5694058821
436	0.5692238916
437	0.5691268907
438	0.5689777325
439	0.5688441167
440	0.5687113386
441	0.5686035771
442	0.5684312106
443	0.5683137313
444	0.5681593434
445	0.5680781834
446	0.567997357
447	0.5678732614
448	0.567767736
449	0.5675445517
450	0.5673760419
451	0.5672195349
452	0.5670853168
453	0.5670132906
454	0.5668410368
455	0.5667975143
456	0.5666253675
457	0.5664600285
458	0.5663428001
459	0.5662225753
460	0.5660371555
461	0.5659470195
462	0.5658372759
463	0.5657087433
464	0.5655633059
465	0.5654443149
466	0.5652656212
467	0.5651547631
468	0.5650966527
469	0.5649641865
470	0.5648809122
471	0.564759612
472	0.5646944865
473	0.5646016215
474	0.5644607889
475	0.5644088002
476	0.564287786
477	0.564098484
478	0.5639949174
479	0.5638402042
480	0.5635699419
481	0.5635330349
482	0.5634106999
483	0.5632129175
484	0.563063169
485	0.5629228387
486	0.5627789134
487	0.5627355102
488	0.5626821719
489	0.562561505
490	0.5624662816
491	0.5622678598
492	0.5621761346
493	0.562030894
494	0.5619328434
495	0.5617364449
496	0.5615332083
497	0.5613803394
498	0.5612369636
499	0.5611013397
500	0.5609809757
501	0.5608821041
502	0.5607531958
503	0.5606394794
504	0.5605107782
505	0.560393179
506	0.5602589683
507	0.5601052093
508	0.5599920844
509	0.5597688725
510	0.5596916088
511	0.5595367192
512	0.5594455454
513	0.5593723129
514	0.559170153
515	0.5589934922
516	0.5589118071
517	0.5587911667
518	0.5586433466
519	0.5585331533
520	0.5584250023
521	0.5582313601
522	0.5581047276
523	0.5579503469
524	0.5578314458
525	0.5576395255
526	0.5575701437
527	0.557424406
528	0.5573494884
529	0.5572406996
530	0.5570601595
531	0.5569490112
532	0.5567904317
533	0.5567029015
534	0.5566805664
535	0.5565541986
536	0.5563658352
537	0.5562077162
538	0.556102988
539	0.5560188717
540	0.5558789772
541	0.555742959
542	0.5555884925
543	0.5555524483
544	0.5555023554
545	0.5554557413
546	0.555346178
547	0.5552584098
548	0.5551639632
549	0.554961938
550	0.5548355236
551	0.5546606844
552	0.5545694866
553	0.554464547
554	0.5543602281
555	0.5542363569
556	0.5542218713
557	0.5540710822
558	0.5539841385
559	0.5538296388
560	0.5537988245
561	0.5536556987
562	0.5535363225
563	0.5533891806
564	0.5532474927
565	0.5531351017
566	0.5529846056
567	0.5528247734
568	0.5527129331
569	0.5526004936
570	0.5525304076
571	0.5523747981
572	0.5522585226
573	0.5521511785
574	0.551949929
575	0.5518513291
576	0.551723281
577	0.5515889831
578	0.5515314508
579	0.5514602086
580	0.5513767998
581	0.5512678933
582	0.5511202936
583	0.5510671526
584	0.551012211
585	0.5509074294
586	0.550836457
587	0.5507526812
588	0.5506135425
589	0.5505613304
590	0.5505450868
591	0.5505145153
592	0.5504700499
593	0.5503638173
594	0.5502276499
595	0.550145077
596	0.5500711748
597	0.5500406047
598	0.5499131716
599	0.5497527926
600	0.5497117867
601	0.5495759663
602	0.5494534004
603	0.5493422997
604	0.5491746231
605	0.5490671501
606	0.5490117414
607	0.5489221752
608	0.5487811063
609	0.5486754599
610	0.5485192882
611	0.5483505821
612	0.5482070003
613	0.548084716
614	0.5479779649
615	0.5478582117
616	0.54775475
617	0.5476319064
618	0.5475075756
619	0.5474206849
620	0.5473011061
621	0.5472485225
622	0.5470891021
623	0.5469401936
624	0.5468312048
625	0.5466932477
626	0.5465628964
627	0.5465226959
628	0.5463829697
629	0.5462515947
630	0.5461116167
631	0.5460110979
632	0.5459608948
633	0.5458213023
634	0.5457227483
635	0.5456371143
636	0.5455202453
637	0.5454036388
638	0.5453800156
639	0.5452094413
640	0.5450760799
641	0.5450195201
642	0.5448890352
643	0.5448315425
644	0.5447214701
645	0.5447028909
646	0.5445765694
647	0.5444079779
648	0.5443068505
649	0.5442174192
650	0.5440665202
651	0.543956913
652	0.5438958422
653	0.5438161578
654	0.5437339032
655	0.5435970749
656	0.5434476402
657	0.5433459794
658	0.5432273371
659	0.5431225692
660	0.5430630183
661	0.5430215644
662	0.542861237
663	0.5427645228
664	0.5426926233
665	0.5426525478
666	0.5426205554
667	0.5425231175
668	0.5423893942
669	0.5423632722
670	0.5423060323
671	0.5421703725
672	0.5420730881
673	0.541960531
674	0.5418650365
675	0.5418202073
676	0.5417070456
677	0.5416344205
678	0.5415465882
679	0.5415165627
680	0.5413745731
681	0.5412154926
682	0.5411307218
683	0.5410495013
684	0.540994669
685	0.5408097284
686	0.5406198812
687	0.5405670436
688	0.5404373301
689	0.540325653
690	0.5402673164
691	0.5401415707
692	0.5399917303
693	0.5398672716
694	0.5397549317
695	0.5395967906
696	0.5395039948
697	0.5394921902
